NU_NOTA_REDACAO,Q006
580,"De R$ 7.984,01 até R$ 8.982,00"
600,Nenhuma renda.
700,"De R$ 4.990,01 até R$ 5.988,00"
560,"De R$ 1.996,01 até R$ 2.495,00"
580,"Até R$ 998,00"
300,"De R$ 1.497,01 até R$ 1.996,00"
260,"De R$ 1.996,01 até R$ 2.495,00"
900,"De R$ 1.497,01 até R$ 1.996,00"
840,"De R$ 998,01 até R$ 1.497,00"
500,"De R$ 1.497,01 até R$ 1.996,00"
840,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 8.982,01 até R$ 9.980,00"
640,Nenhuma renda.
660,"De R$ 2.994,01 até R$ 3.992,00"
660,"Mais de R$ 19.960,00"
680,"Mais de R$ 19.960,00"
600,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 1.497,01 até R$ 1.996,00"
440,"Até R$ 998,00"
840,"De R$ 6.986,01 até R$ 7.984,00"
680,"De R$ 998,01 até R$ 1.497,00"
800,"De R$ 3.992,01 até R$ 4.990,00"
820,"De R$ 4.990,01 até R$ 5.988,00"
620,"De R$ 9.980,01 até R$ 11.976,00"
520,"De R$ 1.996,01 até R$ 2.495,00"
620,"De R$ 1.996,01 até R$ 2.495,00"
620,"De R$ 2.495,01 até R$ 2.994,00"
640,"Até R$ 998,00"
560,"De R$ 1.497,01 até R$ 1.996,00"
840,"De R$ 2.994,01 até R$ 3.992,00"
500,Nenhuma renda.
640,"De R$ 14.970,01 até R$ 19.960,00"
480,"De R$ 998,01 até R$ 1.497,00"
760,"De R$ 3.992,01 até R$ 4.990,00"
640,"De R$ 4.990,01 até R$ 5.988,00"
720,"De R$ 4.990,01 até R$ 5.988,00"
680,"Até R$ 998,00"
580,"De R$ 9.980,01 até R$ 11.976,00"
580,"Até R$ 998,00"
800,"De R$ 14.970,01 até R$ 19.960,00"
280,"Até R$ 998,00"
440,"De R$ 7.984,01 até R$ 8.982,00"
360,"De R$ 1.996,01 até R$ 2.495,00"
320,"De R$ 1.497,01 até R$ 1.996,00"
820,"De R$ 5.988,01 até R$ 6.986,00"
440,"De R$ 4.990,01 até R$ 5.988,00"
720,"Mais de R$ 19.960,00"
560,"De R$ 998,01 até R$ 1.497,00"
480,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 1.497,01 até R$ 1.996,00"
820,"De R$ 7.984,01 até R$ 8.982,00"
900,"De R$ 7.984,01 até R$ 8.982,00"
680,"Até R$ 998,00"
720,"De R$ 2.994,01 até R$ 3.992,00"
920,"De R$ 4.990,01 até R$ 5.988,00"
280,"De R$ 2.994,01 até R$ 3.992,00"
580,"De R$ 2.495,01 até R$ 2.994,00"
680,"Até R$ 998,00"
280,"De R$ 11.976,01 até R$ 14.970,00"
600,"De R$ 8.982,01 até R$ 9.980,00"
820,"De R$ 2.495,01 até R$ 2.994,00"
320,"De R$ 998,01 até R$ 1.497,00"
620,"De R$ 998,01 até R$ 1.497,00"
620,"Até R$ 998,00"
480,"De R$ 1.996,01 até R$ 2.495,00"
740,"De R$ 1.996,01 até R$ 2.495,00"
620,"Até R$ 998,00"
760,"De R$ 3.992,01 até R$ 4.990,00"
560,"De R$ 1.497,01 até R$ 1.996,00"
660,"De R$ 7.984,01 até R$ 8.982,00"
540,"De R$ 3.992,01 até R$ 4.990,00"
880,"De R$ 8.982,01 até R$ 9.980,00"
540,"Até R$ 998,00"
500,"De R$ 1.497,01 até R$ 1.996,00"
760,"De R$ 998,01 até R$ 1.497,00"
740,"De R$ 9.980,01 até R$ 11.976,00"
800,"De R$ 1.996,01 até R$ 2.495,00"
520,"Até R$ 998,00"
800,"De R$ 3.992,01 até R$ 4.990,00"
520,"De R$ 1.497,01 até R$ 1.996,00"
560,"Até R$ 998,00"
880,"De R$ 3.992,01 até R$ 4.990,00"
880,"Até R$ 998,00"
620,"De R$ 11.976,01 até R$ 14.970,00"
640,"De R$ 998,01 até R$ 1.497,00"
500,"De R$ 2.994,01 até R$ 3.992,00"
560,"De R$ 1.996,01 até R$ 2.495,00"
540,"Até R$ 998,00"
340,Nenhuma renda.
740,"De R$ 11.976,01 até R$ 14.970,00"
580,"De R$ 9.980,01 até R$ 11.976,00"
660,"De R$ 998,01 até R$ 1.497,00"
840,"De R$ 2.994,01 até R$ 3.992,00"
840,"De R$ 2.495,01 até R$ 2.994,00"
320,"De R$ 998,01 até R$ 1.497,00"
780,"De R$ 2.994,01 até R$ 3.992,00"
600,"De R$ 11.976,01 até R$ 14.970,00"
480,"De R$ 2.495,01 até R$ 2.994,00"
760,"De R$ 4.990,01 até R$ 5.988,00"
400,"De R$ 1.996,01 até R$ 2.495,00"
760,"Até R$ 998,00"
640,"De R$ 1.497,01 até R$ 1.996,00"
880,"De R$ 3.992,01 até R$ 4.990,00"
940,"De R$ 2.994,01 até R$ 3.992,00"
560,"De R$ 998,01 até R$ 1.497,00"
760,"De R$ 998,01 até R$ 1.497,00"
740,"Até R$ 998,00"
740,"De R$ 2.994,01 até R$ 3.992,00"
460,"De R$ 1.497,01 até R$ 1.996,00"
680,"De R$ 5.988,01 até R$ 6.986,00"
560,"Até R$ 998,00"
400,"Até R$ 998,00"
540,"De R$ 3.992,01 até R$ 4.990,00"
740,"Até R$ 998,00"
640,"Mais de R$ 19.960,00"
620,"De R$ 998,01 até R$ 1.497,00"
620,"Até R$ 998,00"
620,"De R$ 3.992,01 até R$ 4.990,00"
800,"Até R$ 998,00"
580,"De R$ 998,01 até R$ 1.497,00"
620,"De R$ 6.986,01 até R$ 7.984,00"
460,"De R$ 4.990,01 até R$ 5.988,00"
840,"De R$ 14.970,01 até R$ 19.960,00"
740,"De R$ 11.976,01 até R$ 14.970,00"
740,"De R$ 2.495,01 até R$ 2.994,00"
600,"De R$ 11.976,01 até R$ 14.970,00"
540,"De R$ 2.495,01 até R$ 2.994,00"
760,"Até R$ 998,00"
540,"De R$ 1.996,01 até R$ 2.495,00"
880,"De R$ 6.986,01 até R$ 7.984,00"
600,"Mais de R$ 19.960,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
500,"De R$ 998,01 até R$ 1.497,00"
560,"De R$ 1.497,01 até R$ 1.996,00"
720,"De R$ 11.976,01 até R$ 14.970,00"
560,"De R$ 2.994,01 até R$ 3.992,00"
460,"De R$ 998,01 até R$ 1.497,00"
840,"Até R$ 998,00"
540,"Até R$ 998,00"
600,"De R$ 9.980,01 até R$ 11.976,00"
580,"De R$ 998,01 até R$ 1.497,00"
900,"De R$ 2.994,01 até R$ 3.992,00"
460,"Até R$ 998,00"
760,"De R$ 1.497,01 até R$ 1.996,00"
560,"De R$ 998,01 até R$ 1.497,00"
500,"De R$ 1.996,01 até R$ 2.495,00"
580,"Até R$ 998,00"
820,"De R$ 2.994,01 até R$ 3.992,00"
620,"De R$ 3.992,01 até R$ 4.990,00"
640,"De R$ 6.986,01 até R$ 7.984,00"
620,"De R$ 5.988,01 até R$ 6.986,00"
660,"De R$ 1.996,01 até R$ 2.495,00"
640,"De R$ 1.497,01 até R$ 1.996,00"
900,"De R$ 1.996,01 até R$ 2.495,00"
620,"De R$ 4.990,01 até R$ 5.988,00"
840,"De R$ 2.495,01 até R$ 2.994,00"
660,"Até R$ 998,00"
660,"De R$ 2.994,01 até R$ 3.992,00"
660,Nenhuma renda.
580,"Até R$ 998,00"
580,"De R$ 2.994,01 até R$ 3.992,00"
640,Nenhuma renda.
720,"De R$ 998,01 até R$ 1.497,00"
440,"De R$ 998,01 até R$ 1.497,00"
520,"Até R$ 998,00"
740,"De R$ 998,01 até R$ 1.497,00"
800,"De R$ 2.994,01 até R$ 3.992,00"
760,"De R$ 11.976,01 até R$ 14.970,00"
720,"De R$ 5.988,01 até R$ 6.986,00"
880,"Até R$ 998,00"
500,"Até R$ 998,00"
620,"De R$ 2.994,01 até R$ 3.992,00"
780,"De R$ 1.497,01 até R$ 1.996,00"
600,"De R$ 11.976,01 até R$ 14.970,00"
660,"De R$ 4.990,01 até R$ 5.988,00"
920,"De R$ 7.984,01 até R$ 8.982,00"
360,"Até R$ 998,00"
700,"Até R$ 998,00"
520,"De R$ 3.992,01 até R$ 4.990,00"
660,"De R$ 998,01 até R$ 1.497,00"
660,"De R$ 11.976,01 até R$ 14.970,00"
300,"De R$ 2.994,01 até R$ 3.992,00"
560,"De R$ 11.976,01 até R$ 14.970,00"
980,"De R$ 2.994,01 até R$ 3.992,00"
500,"Até R$ 998,00"
720,"Até R$ 998,00"
900,"De R$ 8.982,01 até R$ 9.980,00"
520,"De R$ 998,01 até R$ 1.497,00"
200,"Mais de R$ 19.960,00"
520,"De R$ 5.988,01 até R$ 6.986,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
520,"De R$ 998,01 até R$ 1.497,00"
400,"Até R$ 998,00"
880,"De R$ 14.970,01 até R$ 19.960,00"
740,"De R$ 8.982,01 até R$ 9.980,00"
680,"Até R$ 998,00"
840,"De R$ 6.986,01 até R$ 7.984,00"
900,"De R$ 1.996,01 até R$ 2.495,00"
480,"De R$ 1.497,01 até R$ 1.996,00"
800,"Até R$ 998,00"
880,"De R$ 9.980,01 até R$ 11.976,00"
560,"De R$ 1.996,01 até R$ 2.495,00"
480,"De R$ 2.994,01 até R$ 3.992,00"
520,"De R$ 998,01 até R$ 1.497,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
620,"De R$ 998,01 até R$ 1.497,00"
700,"De R$ 4.990,01 até R$ 5.988,00"
420,"De R$ 1.996,01 até R$ 2.495,00"
440,"De R$ 998,01 até R$ 1.497,00"
700,"De R$ 1.497,01 até R$ 1.996,00"
660,"Até R$ 998,00"
500,"De R$ 6.986,01 até R$ 7.984,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
620,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 998,01 até R$ 1.497,00"
600,"Até R$ 998,00"
220,"De R$ 998,01 até R$ 1.497,00"
800,"De R$ 2.994,01 até R$ 3.992,00"
320,"De R$ 9.980,01 até R$ 11.976,00"
480,"De R$ 7.984,01 até R$ 8.982,00"
720,"De R$ 3.992,01 até R$ 4.990,00"
460,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 7.984,01 até R$ 8.982,00"
540,"De R$ 998,01 até R$ 1.497,00"
660,"De R$ 9.980,01 até R$ 11.976,00"
720,"De R$ 8.982,01 até R$ 9.980,00"
940,"De R$ 2.994,01 até R$ 3.992,00"
800,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 1.497,01 até R$ 1.996,00"
640,"De R$ 998,01 até R$ 1.497,00"
700,"Mais de R$ 19.960,00"
560,"De R$ 3.992,01 até R$ 4.990,00"
680,"De R$ 2.495,01 até R$ 2.994,00"
840,"De R$ 2.495,01 até R$ 2.994,00"
560,"De R$ 998,01 até R$ 1.497,00"
460,"Até R$ 998,00"
700,"De R$ 998,01 até R$ 1.497,00"
660,"De R$ 1.497,01 até R$ 1.996,00"
700,"De R$ 3.992,01 até R$ 4.990,00"
820,"Mais de R$ 19.960,00"
480,"Até R$ 998,00"
880,"De R$ 4.990,01 até R$ 5.988,00"
500,"De R$ 1.996,01 até R$ 2.495,00"
740,Nenhuma renda.
700,"De R$ 8.982,01 até R$ 9.980,00"
420,"Até R$ 998,00"
720,"De R$ 2.994,01 até R$ 3.992,00"
820,"De R$ 5.988,01 até R$ 6.986,00"
560,"De R$ 1.996,01 até R$ 2.495,00"
520,"De R$ 1.996,01 até R$ 2.495,00"
540,"De R$ 4.990,01 até R$ 5.988,00"
520,"De R$ 998,01 até R$ 1.497,00"
480,"Até R$ 998,00"
480,"Até R$ 998,00"
560,"De R$ 4.990,01 até R$ 5.988,00"
640,"De R$ 998,01 até R$ 1.497,00"
820,"De R$ 9.980,01 até R$ 11.976,00"
480,"De R$ 5.988,01 até R$ 6.986,00"
760,"De R$ 5.988,01 até R$ 6.986,00"
500,"De R$ 7.984,01 até R$ 8.982,00"
600,"De R$ 1.996,01 até R$ 2.495,00"
600,"De R$ 9.980,01 até R$ 11.976,00"
540,"Até R$ 998,00"
900,"De R$ 11.976,01 até R$ 14.970,00"
600,"De R$ 998,01 até R$ 1.497,00"
700,"Até R$ 998,00"
460,"De R$ 998,01 até R$ 1.497,00"
900,"De R$ 6.986,01 até R$ 7.984,00"
620,"De R$ 9.980,01 até R$ 11.976,00"
800,"De R$ 998,01 até R$ 1.497,00"
220,"De R$ 1.996,01 até R$ 2.495,00"
880,"De R$ 7.984,01 até R$ 8.982,00"
600,"Até R$ 998,00"
480,"De R$ 998,01 até R$ 1.497,00"
760,"De R$ 998,01 até R$ 1.497,00"
560,"De R$ 14.970,01 até R$ 19.960,00"
520,"De R$ 3.992,01 até R$ 4.990,00"
560,"De R$ 11.976,01 até R$ 14.970,00"
640,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 998,01 até R$ 1.497,00"
420,"Até R$ 998,00"
600,"Até R$ 998,00"
960,"De R$ 3.992,01 até R$ 4.990,00"
960,"De R$ 2.994,01 até R$ 3.992,00"
520,"Até R$ 998,00"
740,"De R$ 3.992,01 até R$ 4.990,00"
620,"De R$ 5.988,01 até R$ 6.986,00"
780,"De R$ 3.992,01 até R$ 4.990,00"
780,"De R$ 5.988,01 até R$ 6.986,00"
360,"Até R$ 998,00"
600,"De R$ 3.992,01 até R$ 4.990,00"
420,"Até R$ 998,00"
500,"De R$ 4.990,01 até R$ 5.988,00"
840,"De R$ 8.982,01 até R$ 9.980,00"
680,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 3.992,01 até R$ 4.990,00"
340,"De R$ 1.497,01 até R$ 1.996,00"
300,"Até R$ 998,00"
500,"De R$ 2.495,01 até R$ 2.994,00"
520,"Até R$ 998,00"
640,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 998,01 até R$ 1.497,00"
760,"De R$ 4.990,01 até R$ 5.988,00"
720,"Mais de R$ 19.960,00"
460,Nenhuma renda.
600,"De R$ 998,01 até R$ 1.497,00"
880,"De R$ 2.994,01 até R$ 3.992,00"
360,"De R$ 998,01 até R$ 1.497,00"
340,"De R$ 2.994,01 até R$ 3.992,00"
480,"Até R$ 998,00"
760,"De R$ 3.992,01 até R$ 4.990,00"
540,"Até R$ 998,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
340,"Até R$ 998,00"
540,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 2.994,01 até R$ 3.992,00"
480,"De R$ 1.497,01 até R$ 1.996,00"
340,Nenhuma renda.
620,"De R$ 11.976,01 até R$ 14.970,00"
920,"Mais de R$ 19.960,00"
840,"Até R$ 998,00"
880,"De R$ 3.992,01 até R$ 4.990,00"
520,"De R$ 998,01 até R$ 1.497,00"
400,"De R$ 998,01 até R$ 1.497,00"
880,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 8.982,01 até R$ 9.980,00"
580,"De R$ 2.495,01 até R$ 2.994,00"
760,"De R$ 1.497,01 até R$ 1.996,00"
820,"De R$ 9.980,01 até R$ 11.976,00"
920,"De R$ 998,01 até R$ 1.497,00"
560,"De R$ 998,01 até R$ 1.497,00"
560,"De R$ 14.970,01 até R$ 19.960,00"
640,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 1.497,01 até R$ 1.996,00"
460,"Até R$ 998,00"
320,"De R$ 4.990,01 até R$ 5.988,00"
920,"De R$ 3.992,01 até R$ 4.990,00"
500,"Até R$ 998,00"
720,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 5.988,01 até R$ 6.986,00"
880,"De R$ 2.495,01 até R$ 2.994,00"
560,"De R$ 5.988,01 até R$ 6.986,00"
580,"De R$ 2.495,01 até R$ 2.994,00"
840,"De R$ 4.990,01 até R$ 5.988,00"
700,"De R$ 2.994,01 até R$ 3.992,00"
560,"Até R$ 998,00"
680,"De R$ 3.992,01 até R$ 4.990,00"
540,"De R$ 2.495,01 até R$ 2.994,00"
400,"De R$ 7.984,01 até R$ 8.982,00"
720,"De R$ 1.497,01 até R$ 1.996,00"
780,"De R$ 5.988,01 até R$ 6.986,00"
540,"De R$ 6.986,01 até R$ 7.984,00"
600,"De R$ 1.996,01 até R$ 2.495,00"
680,"De R$ 3.992,01 até R$ 4.990,00"
600,"Até R$ 998,00"
700,"De R$ 5.988,01 até R$ 6.986,00"
920,"De R$ 14.970,01 até R$ 19.960,00"
900,"De R$ 9.980,01 até R$ 11.976,00"
540,"De R$ 998,01 até R$ 1.497,00"
900,"De R$ 2.994,01 até R$ 3.992,00"
660,"De R$ 998,01 até R$ 1.497,00"
660,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 1.996,01 até R$ 2.495,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
720,"De R$ 2.495,01 até R$ 2.994,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
520,"De R$ 5.988,01 até R$ 6.986,00"
600,"Até R$ 998,00"
720,"De R$ 2.994,01 até R$ 3.992,00"
700,"De R$ 2.994,01 até R$ 3.992,00"
360,"De R$ 3.992,01 até R$ 4.990,00"
700,"De R$ 8.982,01 até R$ 9.980,00"
700,"De R$ 998,01 até R$ 1.497,00"
640,"Até R$ 998,00"
720,"De R$ 4.990,01 até R$ 5.988,00"
460,"Até R$ 998,00"
720,"De R$ 11.976,01 até R$ 14.970,00"
620,"De R$ 11.976,01 até R$ 14.970,00"
460,"Até R$ 998,00"
660,"Mais de R$ 19.960,00"
520,"Até R$ 998,00"
440,"De R$ 1.497,01 até R$ 1.996,00"
800,"De R$ 1.497,01 até R$ 1.996,00"
340,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 4.990,01 até R$ 5.988,00"
940,"De R$ 3.992,01 até R$ 4.990,00"
540,"Até R$ 998,00"
540,"De R$ 4.990,01 até R$ 5.988,00"
640,"De R$ 14.970,01 até R$ 19.960,00"
720,"De R$ 3.992,01 até R$ 4.990,00"
720,"Até R$ 998,00"
680,"De R$ 9.980,01 até R$ 11.976,00"
660,"Até R$ 998,00"
620,"De R$ 2.495,01 até R$ 2.994,00"
540,"De R$ 998,01 até R$ 1.497,00"
560,"De R$ 1.996,01 até R$ 2.495,00"
820,"Mais de R$ 19.960,00"
480,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 2.495,01 até R$ 2.994,00"
560,"De R$ 1.996,01 até R$ 2.495,00"
820,"De R$ 2.994,01 até R$ 3.992,00"
740,"De R$ 2.495,01 até R$ 2.994,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
520,"De R$ 998,01 até R$ 1.497,00"
540,"De R$ 2.495,01 até R$ 2.994,00"
660,"Mais de R$ 19.960,00"
580,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 5.988,01 até R$ 6.986,00"
580,"De R$ 9.980,01 até R$ 11.976,00"
440,"De R$ 1.996,01 até R$ 2.495,00"
480,"De R$ 1.996,01 até R$ 2.495,00"
880,"De R$ 6.986,01 até R$ 7.984,00"
520,"Até R$ 998,00"
620,"Mais de R$ 19.960,00"
540,"De R$ 11.976,01 até R$ 14.970,00"
640,"Mais de R$ 19.960,00"
840,"De R$ 2.994,01 até R$ 3.992,00"
920,"De R$ 8.982,01 até R$ 9.980,00"
700,"Mais de R$ 19.960,00"
940,"De R$ 5.988,01 até R$ 6.986,00"
660,"De R$ 8.982,01 até R$ 9.980,00"
680,"De R$ 2.994,01 até R$ 3.992,00"
540,"De R$ 4.990,01 até R$ 5.988,00"
440,"De R$ 5.988,01 até R$ 6.986,00"
500,"De R$ 1.996,01 até R$ 2.495,00"
900,"De R$ 998,01 até R$ 1.497,00"
640,"Até R$ 998,00"
740,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 4.990,01 até R$ 5.988,00"
760,"De R$ 5.988,01 até R$ 6.986,00"
580,"De R$ 14.970,01 até R$ 19.960,00"
440,"Até R$ 998,00"
580,"De R$ 5.988,01 até R$ 6.986,00"
580,"De R$ 5.988,01 até R$ 6.986,00"
900,"De R$ 11.976,01 até R$ 14.970,00"
520,"De R$ 3.992,01 até R$ 4.990,00"
680,"De R$ 9.980,01 até R$ 11.976,00"
480,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 1.996,01 até R$ 2.495,00"
700,"De R$ 3.992,01 até R$ 4.990,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
820,"De R$ 6.986,01 até R$ 7.984,00"
580,"De R$ 5.988,01 até R$ 6.986,00"
540,"De R$ 1.996,01 até R$ 2.495,00"
760,"De R$ 4.990,01 até R$ 5.988,00"
840,"De R$ 4.990,01 até R$ 5.988,00"
320,"De R$ 4.990,01 até R$ 5.988,00"
940,"De R$ 2.994,01 até R$ 3.992,00"
560,"De R$ 2.994,01 até R$ 3.992,00"
480,"De R$ 3.992,01 até R$ 4.990,00"
620,"De R$ 9.980,01 até R$ 11.976,00"
960,"De R$ 3.992,01 até R$ 4.990,00"
540,"De R$ 1.996,01 até R$ 2.495,00"
500,"De R$ 1.497,01 até R$ 1.996,00"
820,"De R$ 1.497,01 até R$ 1.996,00"
640,"De R$ 4.990,01 até R$ 5.988,00"
660,"De R$ 2.994,01 até R$ 3.992,00"
800,"De R$ 9.980,01 até R$ 11.976,00"
620,"Mais de R$ 19.960,00"
860,"De R$ 6.986,01 até R$ 7.984,00"
760,Nenhuma renda.
720,"De R$ 6.986,01 até R$ 7.984,00"
800,"De R$ 6.986,01 até R$ 7.984,00"
660,"De R$ 4.990,01 até R$ 5.988,00"
780,"De R$ 14.970,01 até R$ 19.960,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
640,"De R$ 998,01 até R$ 1.497,00"
560,"De R$ 2.994,01 até R$ 3.992,00"
480,Nenhuma renda.
820,"De R$ 5.988,01 até R$ 6.986,00"
520,"De R$ 1.497,01 até R$ 1.996,00"
540,"De R$ 6.986,01 até R$ 7.984,00"
540,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 998,01 até R$ 1.497,00"
920,"Mais de R$ 19.960,00"
480,"Até R$ 998,00"
700,"De R$ 3.992,01 até R$ 4.990,00"
840,"De R$ 6.986,01 até R$ 7.984,00"
380,"Até R$ 998,00"
520,"De R$ 1.996,01 até R$ 2.495,00"
600,"De R$ 6.986,01 até R$ 7.984,00"
540,"Mais de R$ 19.960,00"
840,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 998,01 até R$ 1.497,00"
920,"De R$ 4.990,01 até R$ 5.988,00"
540,"De R$ 998,01 até R$ 1.497,00"
800,"Mais de R$ 19.960,00"
820,"De R$ 998,01 até R$ 1.497,00"
760,"De R$ 2.994,01 até R$ 3.992,00"
820,"De R$ 998,01 até R$ 1.497,00"
840,"De R$ 6.986,01 até R$ 7.984,00"
620,"De R$ 5.988,01 até R$ 6.986,00"
660,"Até R$ 998,00"
460,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 1.497,01 até R$ 1.996,00"
880,"De R$ 998,01 até R$ 1.497,00"
920,"De R$ 5.988,01 até R$ 6.986,00"
540,"De R$ 2.495,01 até R$ 2.994,00"
720,"Mais de R$ 19.960,00"
520,"De R$ 998,01 até R$ 1.497,00"
520,"De R$ 1.996,01 até R$ 2.495,00"
640,"De R$ 8.982,01 até R$ 9.980,00"
760,"De R$ 9.980,01 até R$ 11.976,00"
580,"De R$ 998,01 até R$ 1.497,00"
800,"De R$ 6.986,01 até R$ 7.984,00"
460,"De R$ 998,01 até R$ 1.497,00"
700,"De R$ 6.986,01 até R$ 7.984,00"
660,"De R$ 998,01 até R$ 1.497,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
500,"Até R$ 998,00"
580,"De R$ 998,01 até R$ 1.497,00"
920,"De R$ 998,01 até R$ 1.497,00"
640,"Até R$ 998,00"
540,"De R$ 4.990,01 até R$ 5.988,00"
640,"De R$ 998,01 até R$ 1.497,00"
820,"De R$ 1.996,01 até R$ 2.495,00"
640,"De R$ 11.976,01 até R$ 14.970,00"
640,"De R$ 998,01 até R$ 1.497,00"
840,"Mais de R$ 19.960,00"
920,"De R$ 3.992,01 até R$ 4.990,00"
660,"Até R$ 998,00"
360,"Até R$ 998,00"
760,"De R$ 998,01 até R$ 1.497,00"
960,"Mais de R$ 19.960,00"
740,"De R$ 9.980,01 até R$ 11.976,00"
620,"Até R$ 998,00"
860,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 4.990,01 até R$ 5.988,00"
960,"De R$ 8.982,01 até R$ 9.980,00"
500,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 5.988,01 até R$ 6.986,00"
